date,neuron,type,neurite,manipulation,Unnamed: 0,origin,branch,kymograph,time,MT-RFmed,MT-RFstd,MT-RFnb,MT-RFmed_pos,MT-RFstd_pos,MT-RFnb_pos,MT-RFmed_neg,MT-RFstd_neg,MT-RFnb_neg,frame
220509,4,dendrite,1,out_of_bounds,108,0.5,0.5,45,214.5,-0.0122222222222222,,1.0,,,,-0.0122222222222222,,1.0,143.0
220509,4,dendrite,2,before,6,0.5,0.5,46,9.0,0.0,,1.0,,,,,,,6.0
220509,4,dendrite,2,early,27,0.5,0.5,46,43.5,-0.011,,1.0,,,,-0.011,,1.0,29.0
220509,5,axon,0,before,6,0.5,0.5,40,9.0,0.0,,1.0,,,,,,,6.0
220509,5,axon,0,early,86,0.5,0.5,40,129.0,-0.003235294117647,,1.0,,,,-0.003235294117647,,1.0,86.0
220509,5,axon,0,out_of_bounds,143,0.5,0.5,40,214.5,-0.003235294117647,,1.0,,,,-0.003235294117647,,1.0,143.0
220509,5,dendrite,1,before,6,0.5,0.5,41,9.0,0.055,,1.0,0.055,,1.0,,,,6.0
220509,5,dendrite,1,early,78,0.5,0.5,41,129.0,-0.056978417266187,,1.0,0.055,,1.0,-0.056978417266187,,1.0,86.0
220509,5,dendrite,1,out_of_bounds,170,0.5,0.5,41,267.0,-0.056978417266187,,1.0,,,,-0.056978417266187,,1.0,178.0
220509,5,dendrite,2,before,6,0.5,0.5,42,9.0,-0.1955555555555555,,1.0,,,,-0.1955555555555555,,1.0,6.0
220509,5,dendrite,2,early,37,0.5,0.5,42,60.0,-0.0129411764705882,,1.0,,,,-0.0129411764705882,,1.0,40.0
220509,12,axon,0,before,6,0.5,0.5,36,9.0,0.0,,1.0,,,,,,,6.0
220509,12,axon,0,early,16,0.5,0.5,36,27.0,0.66,,1.0,0.66,,1.0,,,,18.0
220509,12,dendrite,1,before,6,0.5,0.5,37,9.0,0.0,,1.0,,,,,,,6.0
220509,12,dendrite,1,early,9,0.5,0.5,37,15.0,-1.98,,1.0,,,,-1.98,,1.0,10.0
220509,12,dendrite,2,before,6,0.5,0.5,38,9.0,-0.0825,,1.0,,,,-0.0825,,1.0,6.0
220509,12,dendrite,2,early,9,0.5,0.5,38,13.5,-2.2,,1.0,,,,-2.2,,1.0,9.0
220509,13,axon,0,before,6,0.5,0.5,33,9.0,0.0,,1.0,,,,,,,6.0
220509,13,axon,0,early,85,0.5,0.5,33,129.0,-0.2108333333333333,,1.0,,,,-0.2108333333333333,,1.0,86.0
220509,13,axon,0,out_of_bounds,87,0.5,0.5,33,132.0,-0.2108333333333333,,1.0,,,,-0.2108333333333333,,1.0,88.0
